date,product_id,product_name,category,stock_on_hand,daily_sold,restock_quantity,stockout
2025-01-04,9,Yoga Mat,Sports,100,22,0,0
2025-01-04,10,Dumbbell Set,Sports,146,36,0,0
2025-01-04,11,Resistance Bands,Sports,59,68,0,0
2025-01-04,12,Protein Powder 1kg,Sports,180,53,0,0
2025-01-04,13,Ceramic Mug Set,Home,199,40,0,0
2025-01-04,14,LED Desk Lamp,Home,107,75,0,0
2025-01-04,15,Throw Pillow Set,Home,130,46,0,0
2025-01-04,16,Plant Pot Trio,Home,270,50,0,0
2025-01-05,1,Wireless Headphones,Electronics,98,16,0,0
2025-01-05,2,Smart Watch,Electronics,106,26,0,0
2025-01-05,3,Bluetooth Speaker,Electronics,193,3,0,0
2025-01-05,4,USB-C Hub,Electronics,141,30,122,0
2025-01-05,5,Cotton T-Shirt,Fashion,178,13,0,0
2025-01-05,6,Denim Jacket,Fashion,41,45,0,0
2025-01-05,7,Running Shoes,Fashion,189,40,139,0
2025-01-05,8,Leather Belt,Fashion,204,24,162,0
2025-01-05,9,Yoga Mat,Sports,189,80,169,0
2025-01-05,10,Dumbbell Set,Sports,118,28,0,0
2025-01-05,11,Resistance Bands,Sports,150,53,144,0
2025-01-05,12,Protein Powder 1kg,Sports,169,11,0,0
2025-01-05,13,Ceramic Mug Set,Home,160,39,0,0
2025-01-05,14,LED Desk Lamp,Home,86,21,0,0
2025-01-05,15,Throw Pillow Set,Home,78,52,0,0
2025-01-05,16,Plant Pot Trio,Home,202,68,0,0
2025-01-06,1,Wireless Headphones,Electronics,87,11,0,0
2025-01-06,2,Smart Watch,Electronics,86,20,0,0
2025-01-06,3,Bluetooth Speaker,Electronics,188,5,0,0
2025-01-06,4,USB-C Hub,Electronics,140,1,0,0
2025-01-06,5,Cotton T-Shirt,Fashion,166,12,0,0
2025-01-06,6,Denim Jacket,Fashion,117,30,106,0
2025-01-06,7,Running Shoes,Fashion,173,16,0,0
2025-01-06,8,Leather Belt,Fashion,180,24,0,0
2025-01-06,9,Yoga Mat,Sports,149,40,0,0
2025-01-06,10,Dumbbell Set,Sports,94,24,0,0
2025-01-06,11,Resistance Bands,Sports,96,54,0,0
2025-01-06,12,Protein Powder 1kg,Sports,131,38,0,0
2025-01-06,13,Ceramic Mug Set,Home,147,13,0,0
2025-01-06,14,LED Desk Lamp,Home,51,35,0,0
2025-01-06,15,Throw Pillow Set,Home,141,48,111,0
2025-01-06,16,Plant Pot Trio,Home,187,15,0,0
2025-01-07,1,Wireless Headphones,Electronics,172,28,113,0
2025-01-07,2,Smart Watch,Electronics,48,38,0,0
2025-01-07,3,Bluetooth Speaker,Electronics,173,15,0,0
2025-01-07,4,USB-C Hub,Electronics,105,35,0,0
2025-01-07,5,Cotton T-Shirt,Fashion,147,19,0,0
2025-01-07,6,Denim Jacket,Fashion,72,45,0,0
2025-01-07,7,Running Shoes,Fashion,145,28,0,0
2025-01-07,8,Leather Belt,Fashion,163,17,0,0
2025-01-07,9,Yoga Mat,Sports,135,14,0,0
2025-01-07,10,Dumbbell Set,Sports,200,62,168,0
2025-01-07,11,Resistance Bands,Sports,79,17,0,0
2025-01-07,12,Protein Powder 1kg,Sports,103,28,0,0
2025-01-07,13,Ceramic Mug Set,Home,131,16,0,0
2025-01-07,14,LED Desk Lamp,Home,197,38,184,0
2025-01-07,15,Throw Pillow Set,Home,101,40,0,0
2025-01-07,16,Plant Pot Trio,Home,153,34,0,0
2025-01-08,1,Wireless Headphones,Electronics,149,23,0,0
2025-01-08,2,Smart Watch,Electronics,130,37,119,0
2025-01-08,3,Bluetooth Speaker,Electronics,119,54,0,0
2025-01-08,4,USB-C Hub,Electronics,93,12,0,0
2025-01-08,5,Cotton T-Shirt,Fashion,113,34,0,0
2025-01-08,6,Denim Jacket,Fashion,124,60,112,0
2025-01-08,7,Running Shoes,Fashion,99,46,0,0
2025-01-08,8,Leather Belt,Fashion,149,14,0,0
2025-01-08,9,Yoga Mat,Sports,111,24,0,0
2025-01-08,10,Dumbbell Set,Sports,141,59,0,0
2025-01-08,11,Resistance Bands,Sports,202,51,174,0
2025-01-08,12,Protein Powder 1kg,Sports,98,5,0,0
2025-01-08,13,Ceramic Mug Set,Home,110,21,0,0
2025-01-08,14,LED Desk Lamp,Home,144,53,0,0
2025-01-08,15,Throw Pillow Set,Home,150,57,106,0
2025-01-08,16,Plant Pot Trio,Home,106,47,0,0
2025-01-09,1,Wireless Headphones,Electronics,133,16,0,0
2025-01-09,2,Smart Watch,Electronics,111,19,0,0
2025-01-09,3,Bluetooth Speaker,Electronics,118,1,0,0
2025-01-09,4,USB-C Hub,Electronics,76,17,0,0
2025-01-09,5,Cotton T-Shirt,Fashion,77,36,0,0
2025-01-09,6,Denim Jacket,Fashion,88,36,0,0
2025-01-09,7,Running Shoes,Fashion,56,43,0,0
2025-01-09,8,Leather Belt,Fashion,106,43,0,0
2025-01-09,9,Yoga Mat,Sports,77,34,0,0
2025-01-09,10,Dumbbell Set,Sports,126,15,0,0
2025-01-09,11,Resistance Bands,Sports,164,38,0,0
2025-01-09,12,Protein Powder 1kg,Sports,85,13,0,0
2025-01-09,13,Ceramic Mug Set,Home,82,28,0,0
2025-01-09,14,LED Desk Lamp,Home,116,28,0,0
2025-01-09,15,Throw Pillow Set,Home,115,35,0,0
2025-01-09,16,Plant Pot Trio,Home,200,49,143,0
2025-01-10,1,Wireless Headphones,Electronics,112,21,0,0
2025-01-10,2,Smart Watch,Electronics,97,14,0,0
2025-01-10,3,Bluetooth Speaker,Electronics,102,16,0,0
2025-01-10,4,USB-C Hub,Electronics,49,27,0,0
2025-01-10,5,Cotton T-Shirt,Fashion,53,24,0,0
2025-01-10,6,Denim Jacket,Fashion,65,23,0,0
2025-01-10,7,Running Shoes,Fashion,165,43,152,0
2025-01-10,8,Leather Belt,Fashion,164,56,114,0
2025-01-10,9,Yoga Mat,Sports,41,36,0,0
2025-01-10,10,Dumbbell Set,Sports,113,13,0,0
2025-01-10,11,Resistance Bands,Sports,123,41,0,0
2025-01-10,12,Protein Powder 1kg,Sports,58,27,0,0
2025-01-10,13,Ceramic Mug Set,Home,184,25,127,0
2025-01-10,14,LED Desk Lamp,Home,107,9,0,0
2025-01-10,15,Throw Pillow Set,Home,89,26,0,0
2025-01-10,16,Plant Pot Trio,Home,178,22,0,0
2025-01-11,1,Wireless Headphones,Electronics,70,42,0,0
2025-01-11,2,Smart Watch,Electronics,62,35,0,0
2025-01-11,3,Bluetooth Speaker,Electronics,94,8,0,0
2025-01-11,4,USB-C Hub,Electronics,125,26,102,0
2025-01-11,5,Cotton T-Shirt,Fashion,106,48,101,0
2025-01-11,6,Denim Jacket,Fashion,93,68,93,0
2025-01-11,7,Running Shoes,Fashion,121,44,0,0
2025-01-11,8,Leather Belt,Fashion,142,22,0,0
2025-01-11,9,Yoga Mat,Sports,200,24,183,0
2025-01-11,10,Dumbbell Set,Sports,63,50,0,0
2025-01-11,11,Resistance Bands,Sports,72,51,0,0
2025-01-11,12,Protein Powder 1kg,Sports,203,38,183,0
2025-01-11,13,Ceramic Mug Set,Home,170,14,0,0
2025-01-11,14,LED Desk Lamp,Home,91,16,0,0
2025-01-11,15,Throw Pillow Set,Home,163,60,134,0
2025-01-11,16,Plant Pot Trio,Home,161,17,0,0
2025-01-12,1,Wireless Headphones,Electronics,163,39,132,0
2025-01-12,2,Smart Watch,Electronics,127,65,127,0
2025-01-12,3,Bluetooth Speaker,Electronics,50,44,0,0
2025-01-12,4,USB-C Hub,Electronics,109,16,0,0
2025-01-12,5,Cotton T-Shirt,Fashion,230,76,200,0
2025-01-12,6,Denim Jacket,Fashion,79,14,0,0
2025-01-12,7,Running Shoes,Fashion,95,26,0,0
2025-01-12,8,Leather Belt,Fashion,109,33,0,0
2025-01-12,9,Yoga Mat,Sports,185,15,0,0
2025-01-12,10,Dumbbell Set,Sports,163,70,163,0
2025-01-12,11,Resistance Bands,Sports,187,97,187,0
2025-01-12,12,Protein Powder 1kg,Sports,161,42,0,0
2025-01-12,13,Ceramic Mug Set,Home,123,47,0,0
2025-01-12,14,LED Desk Lamp,Home,178,77,164,0
2025-01-12,15,Throw Pillow Set,Home,101,62,0,0
2025-01-12,16,Plant Pot Trio,Home,106,55,0,0
2025-01-13,1,Wireless Headphones,Electronics,137,26,0,0
2025-01-13,2,Smart Watch,Electronics,98,29,0,0
2025-01-13,3,Bluetooth Speaker,Electronics,30,20,0,0
2025-01-13,4,USB-C Hub,Electronics,71,38,0,0
2025-01-13,5,Cotton T-Shirt,Fashion,170,60,0,0
2025-01-13,6,Denim Jacket,Fashion,201,62,184,0
2025-01-13,7,Running Shoes,Fashion,171,45,121,0
2025-01-13,8,Leather Belt,Fashion,77,32,0,0
2025-01-13,9,Yoga Mat,Sports,152,33,0,0
2025-01-13,10,Dumbbell Set,Sports,111,52,0,0
2025-01-13,11,Resistance Bands,Sports,151,36,0,0
2025-01-13,12,Protein Powder 1kg,Sports,118,43,0,0
2025-01-13,13,Ceramic Mug Set,Home,80,43,0,0
2025-01-13,14,LED Desk Lamp,Home,132,46,0,0
2025-01-13,15,Throw Pillow Set,Home,90,11,0,0
2025-01-13,16,Plant Pot Trio,Home,82,24,0,0
2025-01-14,1,Wireless Headphones,Electronics,107,30,0,0
2025-01-14,2,Smart Watch,Electronics,46,52,0,0
2025-01-14,3,Bluetooth Speaker,Electronics,127,21,118,0
2025-01-14,4,USB-C Hub,Electronics,50,21,0,0
2025-01-14,5,Cotton T-Shirt,Fashion,134,36,0,0
2025-01-14,6,Denim Jacket,Fashion,187,14,0,0
2025-01-14,7,Running Shoes,Fashion,154,17,0,0
2025-01-14,8,Leather Belt,Fashion,70,7,0,0
2025-01-14,9,Yoga Mat,Sports,138,14,0,0
2025-01-14,10,Dumbbell Set,Sports,45,66,0,0
2025-01-14,11,Resistance Bands,Sports,140,11,0,0
2025-01-14,12,Protein Powder 1kg,Sports,102,16,0,0
2025-01-14,13,Ceramic Mug Set,Home,197,35,152,0
2025-01-14,14,LED Desk Lamp,Home,86,46,0,0
2025-01-14,15,Throw Pillow Set,Home,71,19,0,0
2025-01-14,16,Plant Pot Trio,Home,62,20,0,0
2025-01-15,1,Wireless Headphones,Electronics,86,21,0,0
2025-01-15,2,Smart Watch,Electronics,202,22,178,0
2025-01-15,3,Bluetooth Speaker,Electronics,111,16,0,0
2025-01-15,4,USB-C Hub,Electronics,216,18,184,0
2025-01-15,5,Cotton T-Shirt,Fashion,105,29,0,0
2025-01-15,6,Denim Jacket,Fashion,170,17,0,0
2025-01-15,7,Running Shoes,Fashion,148,6,0,0
2025-01-15,8,Leather Belt,Fashion,185,38,153,0
2025-01-15,9,Yoga Mat,Sports,43,95,0,0
2025-01-15,10,Dumbbell Set,Sports,191,80,191,0
2025-01-15,11,Resistance Bands,Sports,116,24,0,0
2025-01-15,12,Protein Powder 1kg,Sports,57,45,0,0
2025-01-15,13,Ceramic Mug Set,Home,150,47,0,0
2025-01-15,14,LED Desk Lamp,Home,215,49,178,0
2025-01-15,15,Throw Pillow Set,Home,188,29,146,0
2025-01-15,16,Plant Pot Trio,Home,147,41,126,0
2025-01-16,1,Wireless Headphones,Electronics,75,11,0,0
2025-01-16,2,Smart Watch,Electronics,177,25,0,0
2025-01-16,3,Bluetooth Speaker,Electronics,87,24,0,0
2025-01-16,4,USB-C Hub,Electronics,200,16,0,0
2025-01-16,5,Cotton T-Shirt,Fashion,53,52,0,0
2025-01-16,6,Denim Jacket,Fashion,121,49,0,0
2025-01-16,7,Running Shoes,Fashion,95,53,0,0
2025-01-16,8,Leather Belt,Fashion,151,34,0,0
2025-01-16,9,Yoga Mat,Sports,105,51,105,0
2025-01-16,10,Dumbbell Set,Sports,145,46,0,0
2025-01-16,11,Resistance Bands,Sports,96,20,0,0
2025-01-16,12,Protein Powder 1kg,Sports,30,27,0,0
2025-01-16,13,Ceramic Mug Set,Home,119,31,0,0
2025-01-16,14,LED Desk Lamp,Home,169,46,0,0
2025-01-16,15,Throw Pillow Set,Home,160,28,0,0
2025-01-16,16,Plant Pot Trio,Home,131,16,0,0
2025-01-17,1,Wireless Headphones,Electronics,189,26,140,0
2025-01-17,2,Smart Watch,Electronics,152,25,0,0
2025-01-17,3,Bluetooth Speaker,Electronics,55,32,0,0
2025-01-17,4,USB-C Hub,Electronics,187,13,0,0
2025-01-17,5,Cotton T-Shirt,Fashion,189,35,171,0
2025-01-17,6,Denim Jacket,Fashion,58,63,0,0
2025-01-17,7,Running Shoes,Fashion,74,21,0,0
2025-01-17,8,Leather Belt,Fashion,123,28,0,0
2025-01-17,9,Yoga Mat,Sports,43,62,0,0
2025-01-17,10,Dumbbell Set,Sports,114,31,0,0
2025-01-17,11,Resistance Bands,Sports,90,6,0,0
2025-01-17,12,Protein Powder 1kg,Sports,156,68,156,0
2025-01-17,13,Ceramic Mug Set,Home,90,29,0,0
2025-01-17,14,LED Desk Lamp,Home,132,37,0,0
2025-01-17,15,Throw Pillow Set,Home,120,40,0,0
2025-01-17,16,Plant Pot Trio,Home,113,18,0,0
2025-01-18,1,Wireless Headphones,Electronics,181,8,0,0
2025-01-18,2,Smart Watch,Electronics,136,16,0,0
2025-01-18,3,Bluetooth Speaker,Electronics,33,22,0,0
2025-01-18,4,USB-C Hub,Electronics,165,22,0,0
2025-01-18,5,Cotton T-Shirt,Fashion,123,66,0,0
2025-01-18,6,Denim Jacket,Fashion,25,33,0,0
2025-01-18,7,Running Shoes,Fashion,222,29,177,0
2025-01-18,8,Leather Belt,Fashion,75,48,0,0
2025-01-18,9,Yoga Mat,Sports,21,22,0,0
2025-01-18,10,Dumbbell Set,Sports,53,61,0,0
2025-01-18,11,Resistance Bands,Sports,60,30,0,0
2025-01-18,12,Protein Powder 1kg,Sports,112,44,0,0
2025-01-18,13,Ceramic Mug Set,Home,182,78,170,0
2025-01-18,14,LED Desk Lamp,Home,83,49,0,0
2025-01-18,15,Throw Pillow Set,Home,202,76,158,0
2025-01-18,16,Plant Pot Trio,Home,137,57,81,0
2025-01-19,1,Wireless Headphones,Electronics,172,9,0,0
2025-01-19,2,Smart Watch,Electronics,120,16,0,0
2025-01-19,3,Bluetooth Speaker,Electronics,176,23,166,0
2025-01-19,4,USB-C Hub,Electronics,144,21,0,0
2025-01-19,5,Cotton T-Shirt,Fashion,90,33,0,0
2025-01-19,6,Denim Jacket,Fashion,84,64,84,0
2025-01-19,7,Running Shoes,Fashion,164,58,0,0
2025-01-19,8,Leather Belt,Fashion,139,46,110,0
2025-01-19,9,Yoga Mat,Sports,123,26,123,0
2025-01-19,10,Dumbbell Set,Sports,123,36,106,0
2025-01-19,11,Resistance Bands,Sports,215,21,176,0
2025-01-19,12,Protein Powder 1kg,Sports,76,36,0,0
2025-01-19,13,Ceramic Mug Set,Home,147,35,0,0
2025-01-19,14,LED Desk Lamp,Home,63,20,0,0
2025-01-19,15,Throw Pillow Set,Home,168,34,0,0
2025-01-19,16,Plant Pot Trio,Home,107,30,0,0
2025-01-20,1,Wireless Headphones,Electronics,161,11,0,0
2025-01-20,2,Smart Watch,Electronics,87,33,0,0
2025-01-20,3,Bluetooth Speaker,Electronics,163,13,0,0
2025-01-20,4,USB-C Hub,Electronics,128,16,0,0
2025-01-20,5,Cotton T-Shirt,Fashion,60,30,0,0
2025-01-20,6,Denim Jacket,Fashion,78,6,0,0
2025-01-20,7,Running Shoes,Fashion,140,24,0,0
2025-01-20,8,Leather Belt,Fashion,113,26,0,0
2025-01-20,9,Yoga Mat,Sports,111,12,0,0
2025-01-20,10,Dumbbell Set,Sports,81,42,0,0
2025-01-20,11,Resistance Bands,Sports,175,40,0,0
2025-01-20,12,Protein Powder 1kg,Sports,164,63,151,0
2025-01-20,13,Ceramic Mug Set,Home,108,39,0,0
2025-01-20,14,LED Desk Lamp,Home,206,49,192,0
2025-01-20,15,Throw Pillow Set,Home,134,34,0,0
2025-01-20,16,Plant Pot Trio,Home,90,17,0,0
2025-01-21,1,Wireless Headphones,Electronics,142,19,0,0
2025-01-21,2,Smart Watch,Electronics,50,37,0,0
2025-01-21,3,Bluetooth Speaker,Electronics,137,26,0,0
2025-01-21,4,USB-C Hub,Electronics,121,7,0,0
2025-01-21,5,Cotton T-Shirt,Fashion,44,16,0,0
2025-01-21,6,Denim Jacket,Fashion,62,16,0,0
2025-01-21,7,Running Shoes,Fashion,70,70,0,0
2025-01-21,8,Leather Belt,Fashion,78,35,0,0
2025-01-21,9,Yoga Mat,Sports,84,27,0,0
2025-01-21,10,Dumbbell Set,Sports,44,37,0,0
2025-01-21,11,Resistance Bands,Sports,116,59,0,0
2025-01-21,12,Protein Powder 1kg,Sports,110,54,0,0
2025-01-21,13,Ceramic Mug Set,Home,61,47,0,0
2025-01-21,14,LED Desk Lamp,Home,184,22,0,0
2025-01-21,15,Throw Pillow Set,Home,94,40,0,0
2025-01-21,16,Plant Pot Trio,Home,176,56,142,0
2025-01-22,1,Wireless Headphones,Electronics,138,4,0,0
2025-01-22,2,Smart Watch,Electronics,42,8,0,0
2025-01-22,3,Bluetooth Speaker,Electronics,111,26,0,0
2025-01-22,4,USB-C Hub,Electronics,61,60,0,0
2025-01-22,5,Cotton T-Shirt,Fashion,153,80,153,0
2025-01-22,6,Denim Jacket,Fashion,184,61,183,0
2025-01-22,7,Running Shoes,Fashion,163,32,125,0
2025-01-22,8,Leather Belt,Fashion,125,44,91,0
2025-01-22,9,Yoga Mat,Sports,53,31,0,0
2025-01-22,10,Dumbbell Set,Sports,103,41,100,0
2025-01-22,11,Resistance Bands,Sports,85,31,0,0
2025-01-22,12,Protein Powder 1kg,Sports,53,57,0,0
2025-01-22,13,Ceramic Mug Set,Home,175,12,126,0
2025-01-22,14,LED Desk Lamp,Home,164,20,0,0
2025-01-22,15,Throw Pillow Set,Home,77,17,0,0
2025-01-22,16,Plant Pot Trio,Home,121,55,0,0
2025-01-23,1,Wireless Headphones,Electronics,132,6,0,0
2025-01-23,2,Smart Watch,Electronics,157,8,123,0
2025-01-23,3,Bluetooth Speaker,Electronics,92,19,0,0
2025-01-23,4,USB-C Hub,Electronics,189,22,150,0
2025-01-23,5,Cotton T-Shirt,Fashion,143,10,0,0
2025-01-23,6,Denim Jacket,Fashion,147,37,0,0
2025-01-23,7,Running Shoes,Fashion,120,43,0,0
2025-01-23,8,Leather Belt,Fashion,98,27,0,0
2025-01-23,9,Yoga Mat,Sports,40,13,0,0
2025-01-23,10,Dumbbell Set,Sports,85,18,0,0
2025-01-23,11,Resistance Bands,Sports,115,57,87,0
2025-01-23,12,Protein Powder 1kg,Sports,177,28,152,0
2025-01-23,13,Ceramic Mug Set,Home,159,16,0,0
2025-01-23,14,LED Desk Lamp,Home,130,34,0,0
2025-01-23,15,Throw Pillow Set,Home,232,37,192,0
2025-01-23,16,Plant Pot Trio,Home,214,80,173,0
2025-01-24,1,Wireless Headphones,Electronics,94,38,0,0
2025-01-24,2,Smart Watch,Electronics,150,7,0,0
2025-01-24,3,Bluetooth Speaker,Electronics,81,11,0,0
2025-01-24,4,USB-C Hub,Electronics,167,22,0,0
2025-01-24,5,Cotton T-Shirt,Fashion,109,34,0,0
2025-01-24,6,Denim Jacket,Fashion,94,53,0,0
2025-01-24,7,Running Shoes,Fashion,114,6,0,0
2025-01-24,8,Leather Belt,Fashion,221,50,173,0
2025-01-24,9,Yoga Mat,Sports,22,18,0,0
2025-01-24,10,Dumbbell Set,Sports,56,29,0,0
2025-01-24,11,Resistance Bands,Sports,47,68,0,0
2025-01-24,12,Protein Powder 1kg,Sports,138,39,0,0
2025-01-24,13,Ceramic Mug Set,Home,134,25,0,0
2025-01-24,14,LED Desk Lamp,Home,74,56,0,0
2025-01-24,15,Throw Pillow Set,Home,230,2,0,0
2025-01-24,16,Plant Pot Trio,Home,170,44,0,0
2025-01-25,1,Wireless Headphones,Electronics,63,31,0,0
2025-01-25,2,Smart Watch,Electronics,73,77,0,0
2025-01-25,3,Bluetooth Speaker,Electronics,61,20,0,0
2025-01-25,4,USB-C Hub,Electronics,159,8,0,0
2025-01-25,5,Cotton T-Shirt,Fashion,74,35,0,0
2025-01-25,6,Denim Jacket,Fashion,125,102,125,0
2025-01-25,7,Running Shoes,Fashion,161,75,122,0
2025-01-25,8,Leather Belt,Fashion,159,62,0,0
2025-01-25,9,Yoga Mat,Sports,106,54,106,0
2025-01-25,10,Dumbbell Set,Sports,123,28,95,0
2025-01-25,11,Resistance Bands,Sports,132,9,94,0
2025-01-25,12,Protein Powder 1kg,Sports,108,30,0,0
2025-01-25,13,Ceramic Mug Set,Home,71,63,0,0
2025-01-25,14,LED Desk Lamp,Home,223,28,177,0
2025-01-25,15,Throw Pillow Set,Home,215,15,0,0
2025-01-25,16,Plant Pot Trio,Home,113,57,0,0
2025-01-26,1,Wireless Headphones,Electronics,172,28,137,0
2025-01-26,2,Smart Watch,Electronics,56,17,0,0
2025-01-26,3,Bluetooth Speaker,Electronics,215,43,197,0
2025-01-26,4,USB-C Hub,Electronics,149,10,0,0
2025-01-26,5,Cotton T-Shirt,Fashion,201,42,169,0
2025-01-26,6,Denim Jacket,Fashion,84,41,0,0
2025-01-26,7,Running Shoes,Fashion,146,15,0,0
2025-01-26,8,Leather Belt,Fashion,128,31,0,0
2025-01-26,9,Yoga Mat,Sports,55,51,0,0
2025-01-26,10,Dumbbell Set,Sports,50,73,0,0
2025-01-26,11,Resistance Bands,Sports,90,42,0,0
2025-01-26,12,Protein Powder 1kg,Sports,187,82,161,0
2025-01-26,13,Ceramic Mug Set,Home,180,20,129,0
2025-01-26,14,LED Desk Lamp,Home,190,33,0,0
2025-01-26,15,Throw Pillow Set,Home,186,29,0,0
2025-01-26,16,Plant Pot Trio,Home,74,39,0,0
2025-01-27,1,Wireless Headphones,Electronics,144,28,0,0
2025-01-27,2,Smart Watch,Electronics,38,18,0,0
2025-01-27,3,Bluetooth Speaker,Electronics,174,41,0,0
2025-01-27,4,USB-C Hub,Electronics,138,11,0,0
2025-01-27,5,Cotton T-Shirt,Fashion,173,28,0,0
2025-01-27,6,Denim Jacket,Fashion,50,34,0,0
2025-01-27,7,Running Shoes,Fashion,140,6,0,0
2025-01-27,8,Leather Belt,Fashion,72,56,0,0
2025-01-27,9,Yoga Mat,Sports,42,13,0,0
2025-01-27,10,Dumbbell Set,Sports,199,34,183,0
2025-01-27,11,Resistance Bands,Sports,44,46,0,0
2025-01-27,12,Protein Powder 1kg,Sports,177,10,0,0
2025-01-27,13,Ceramic Mug Set,Home,160,20,0,0
2025-01-27,14,LED Desk Lamp,Home,152,38,0,0
2025-01-27,15,Throw Pillow Set,Home,168,18,0,0
2025-01-27,16,Plant Pot Trio,Home,240,17,183,0
2025-01-28,1,Wireless Headphones,Electronics,128,16,0,0
2025-01-28,2,Smart Watch,Electronics,117,35,114,0
2025-01-28,3,Bluetooth Speaker,Electronics,118,56,0,0
2025-01-28,4,USB-C Hub,Electronics,118,20,0,0
2025-01-28,5,Cotton T-Shirt,Fashion,159,14,0,0
2025-01-28,6,Denim Jacket,Fashion,27,23,0,0
2025-01-28,7,Running Shoes,Fashion,122,18,0,0
2025-01-28,8,Leather Belt,Fashion,66,6,0,0
2025-01-28,9,Yoga Mat,Sports,163,80,163,0
2025-01-28,10,Dumbbell Set,Sports,151,48,0,0
2025-01-28,11,Resistance Bands,Sports,127,20,103,0
2025-01-28,12,Protein Powder 1kg,Sports,145,32,0,0
2025-01-28,13,Ceramic Mug Set,Home,141,19,0,0
2025-01-28,14,LED Desk Lamp,Home,139,13,0,0
2025-01-28,15,Throw Pillow Set,Home,158,10,0,0
2025-01-28,16,Plant Pot Trio,Home,196,44,0,0
2025-01-29,1,Wireless Headphones,Electronics,114,14,0,0
2025-01-29,2,Smart Watch,Electronics,111,6,0,0
2025-01-29,3,Bluetooth Speaker,Electronics,86,32,0,0
2025-01-29,4,USB-C Hub,Electronics,102,16,0,0
2025-01-29,5,Cotton T-Shirt,Fashion,141,18,0,0
2025-01-29,6,Denim Jacket,Fashion,119,22,114,0
2025-01-29,7,Running Shoes,Fashion,81,41,0,0
2025-01-29,8,Leather Belt,Fashion,142,23,99,0
2025-01-29,9,Yoga Mat,Sports,119,44,0,0
2025-01-29,10,Dumbbell Set,Sports,114,37,0,0
2025-01-29,11,Resistance Bands,Sports,105,22,0,0
